536365,85123A,6,12/1/2010 8:26,2.55,17850,United Kingdom
536365,71053,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84406B,8,12/1/2010 8:26,2.75,17850,United Kingdom
536365,84029G,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84029E,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,22752,2,12/1/2010 8:26,7.65,17850,United Kingdom
536365,21730,6,12/1/2010 8:26,4.25,17850,United Kingdom
536366,22633,6,12/1/2010 8:28,1.85,17850,United Kingdom
536366,22632,6,12/1/2010 8:28,1.85,17850,United Kingdom
536367,84879,32,12/1/2010 8:34,1.69,13047,United Kingdom
536367,22745,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22748,6,12/1/2010 8:34,2.1,13047,United Kingdom
536367,22749,8,12/1/2010 8:34,3.75,13047,United Kingdom
536367,22310,6,12/1/2010 8:34,1.65,13047,United Kingdom
536367,84969,6,12/1/2010 8:34,4.25,13047,United Kingdom
536367,22623,3,12/1/2010 8:34,4.95,13047,United Kingdom
536367,22622,2,12/1/2010 8:34,9.95,13047,United Kingdom
536367,21754,3,12/1/2010 8:34,5.95,13047,United Kingdom
536367,21755,3,12/1/2010 8:34,5.95,13047,United Kingdom
536367,21777,4,12/1/2010 8:34,7.95,13047,United Kingdom
536367,48187,4,12/1/2010 8:34,7.95,13047,United Kingdom
536368,22960,6,12/1/2010 8:34,4.25,13047,United Kingdom
536368,22913,3,12/1/2010 8:34,4.95,13047,United Kingdom
536368,22912,3,12/1/2010 8:34,4.95,13047,United Kingdom
536368,22914,3,12/1/2010 8:34,4.95,13047,United Kingdom
536369,21756,3,12/1/2010 8:35,5.95,13047,United Kingdom
536370,22728,24,12/1/2010 8:45,3.75,12583,France
536370,22727,24,12/1/2010 8:45,3.75,12583,France
536370,22726,12,12/1/2010 8:45,3.75,12583,France
536370,21724,12,12/1/2010 8:45,0.85,12583,France
536370,21883,24,12/1/2010 8:45,0.65,12583,France
536370,10002,48,12/1/2010 8:45,0.85,12583,France
536370,21791,24,12/1/2010 8:45,1.25,12583,France
536370,21035,18,12/1/2010 8:45,2.95,12583,France
